Insult,Date,Comment,Usage
0,20120610041402Z,"""By your reply, you did not learn much in the Navy. He is our commander-in-chief. My brothers served in vietnam, my bio dad and adopted dad in WWII, they came from all sides of the political spectrum and they respected the president. Did they agree with him always? NO, but they respected the office. We hear all the time that the vet fought for our freedom. Part of the freedom is to elect our president and other officials. Aparently you didn't learn about that in the Navy. At least this President is trying to get benefits for our vets, something the republican party is all for cutting, so they can buy the next obsolete toy for the DOD.""",PrivateTest
1,20120619184932Z,"""HELL NO! \xa0I bet you did about shit though when she told you her plans.""",PrivateTest
0,20120620151906Z,"""Eve, I love your commentary on Bachelorette... my wife makes me watch it and I wholly look forward to you skewering it the next day.""",PublicTest
1,20120612004538Z,"""you just saw the 4chan thread today faggot""",PrivateTest
0,20120529064859Z,"""A speech by a ""bloodthirsty loonie"":\n\nhttp://www.youtube.com/watch?v=iOmK0hwa03w&feature=player_embedded#!""",PrivateTest
1,20120528173226Z,"""He will never be ashamed. Lefties are amoral so they have no shame. They think patriotism is quaint and soldiers are tools.\n\nWonder where these assholes would be if it were not for those they hate so much.""",PrivateTest
1,20120619233914Z,"""So you are the Queen of Trolls? You should create yet another username and call yourself that, then.""",PrivateTest
1,20120620022059Z,"""fuck ya news people saying aint got my lil girl dumb fuck's she is with us and them story's r two different story's dumb pussy's fuck all ya mother fuckers making us look bad and saying it waz facebook bust no dumb fuck's it waz a song that got us in this shit so fuck them two news cast people... get ya shit straight b4 ya post dumb mother fucker's .""",PrivateTest
0,20120620001826Z,"""Cigani bolo etnikum z Indie,ale nastastie na slovensku vyhynuli.Objavili sa romovia pred nedavnom,cert vie z ktorej psej riti.AI spolu s EU ich chrani.Vyvazajme ten poklad tym ktory ho lubia.Alebo ho Chemicky deratizujme ako vsi.""",PrivateTest
0,20120620114032Z,"""so if you water your lawn at the wrong time of day the police will find you and issue a ticket with fine.\nshoot your gun off any time of day in Chicago injure or kill someone those same police may or may not find you??? \xa0 Something wrong with this picture""",PublicTest
1,20120611190103Z,"""Garbage-overload. Stop it, Peasemold, you're confusing yourself!\nI never heard so much old s**t in my life.""",PrivateTest
1,20120610080814Z,"""Seriously dude, fuck you. I'm catching up on the episodes I missed and now you've ruined the next one for me. Think before posting on the review of the PREVIOUS EPISODE next time. Asshole""",PrivateTest
0,20120620174512Z,"""Man not for nothing but them niggas was wack last night sung like four song and lefted. From the dude wit da spikey jean vest...""",PublicTest
0,20120529022410Z,"""Lol.......Ralph you are the guys who are still in Moi era...""",PrivateTest
0,20120611220129Z,"""Here the sand fleas go again, Muslims killing muslims. Its Israels fault.Muslim men raping muslim women. It's Israels fault. Muslims are constipated .It's Israels fault. I never realized Israel had this much control over muslims.""",PublicTest
0,20120612051425Z,"""when you buy a new laptop you still use your old power adapter?\ndumb chinatown\n\nand no it's not completely incompatible cause there's an adapter for that\n\nand what's your next whine for the non progress?\n\nno ethernet?""",PublicTest
0,20120529130822Z,"""sweetie pie is looking very much like her cousin Maggie E...WHAT A BEAUTY THIS LITTLE ONE IS..Love you all to pieces !!""",PrivateTest
1,20120320073913Z,"""he meant the kid passing his dad the ball without looking, you cynical bastard!""",PublicTest
1,20120529094415Z,"""Lapid's an idiot. I rest my case.""",PublicTest
1,20120320181231Z,"""Don't worry you little empty head over it .......... Just go back to wiping your ass on your hula hoop.""",PublicTest
1,20120612023029Z,"""dan_amd\n\nYou have realy no clue on every single idiotic comment of all your posts.WE ALL DON'T enjoy your stupid PRO AMD B:U:L:L:S:H:I:T ignorance.Please crawl back then in the fat ass of your gay loving buddy charliedemerjian semiinaccurate and try to find the light inside - U stupid FAG!\n\nWE REALY DON'T NEED AND WANT YOUR POST HERE ANYMORE!""",PrivateTest
0,20120611211302Z,"""Yeah, right. I'm an idiot. Meanwhile, you believe that a conspiracy started 51 yrs ago because a time\xa0traveler\xa0decided to plant 2 birth announcements in the Hawaii to cover for Obama once he became president. And, you also believe that the CIA, Dept. of Justice, the FBI and every other government agency is in on your moronic conspiracy theory.\n\nPlus, you believe what you read on this website.\n\nWho's the idiot?""",PrivateTest
0,,"""If he's so embarassed about it, why have the story published in one of the UK's biggest papers?! Oh yeah it's worth being humiliated for a bit of cash...""",PrivateTest
0,,"""If they aren't careful, they may get a REAL big bang !\\xc2\\xa0\\n\\n""",PrivateTest
0,,"""only need 1 in the prawn cocktail""",PrivateTest
1,20120611080245Z,"""I have no fu<m>cking problem tell a dumba<mss like you what is up either swaggerkid I got all fu<m>cking day to rant about how stupid your as<m>s is.""",PrivateTest
0,20120611183248Z,"""If this man goes to jail Ill burn down the capitol building""",PublicTest
1,,"""ONLY ONE DEWING DA SWITCHIN IS YO MOTHER,SHE SWITCHED FROM FROGGY STYLE TO DOGGY STYLE WHEN IM IN HER!.  COULD YOU HEAR HER SCREAMING IN YOUR LIL PISS STAINED BED SITTIN NEXT DOOR IN YOUR SMALL ASS TRAILER?  I KNOW YOU DID BECAUSE THEM WALLS IS NOT EVEN A INCH THICK AND THE WHOLE DAMN TRAILER WAS SHAKING HAD TO CALL THE FIRE DEPT TO JACK THAT THING BACK UP ON THOSE CINDER BLOCKS WHEN I WAS DONE""",PrivateTest
0,,"""@we r all husseins They are not the engineers. They are the whores of the greedy bastard engineers.""",PrivateTest
0,20120609201143Z,"""There is one Judge and He is over all, He is the one who calls sin what it is and tells us to repent of it. Homosexuality G_d calls it an abomination, it is detestable to Him and it should be to us.\xa0G_d did not create killers, muders, rapists, pedophiles, lesbians, gays, transgender, adulterers, thieves, fornicators, etc. Your logic fails when you say that the Creator made them this way for a reason, that is an evil position to hold. We make choices in this life and what we become is all based upon our own individual freewill, no one forces them to become rebellious against G_d, they have done it to themselves. In your trying to have others accept evil to create peace what you are actually doing instead is creating chaos, because righteousness and evil rebelliousness cannot co-exist.""",PrivateTest
0,20120618201637Z,"""But don't you know as crazy as the two of us are, we'd have a blast together.\xa0 And then imagine the blog posts?\xa0 Awesome.\xa0 And you are not lame, no way.\xa0 Nothing wrong with trying to hang on to your cash.\xa0 I definitely have issues with that though.\xa0 \nXOXOs my friend.""",PublicTest
1,20120320164303Z,"""The only language you understand would have to penetrate the walls of your rectum and vibrate your eardrums.""",PublicTest
1,,"""Alara cant go kill herself what the sick she looks like some fagget in girls close and no alara you would not be the perfect juliet so go die!!!!""",PublicTest
1,20120610210815Z,"""You are\xa0 an asshole if your in tampa with your\xa0 ron paul crap I hope that nobody hurts your feeling.""",PrivateTest
0,,"""im feelin a lot of haterade in here and it seems to be a comin from the females of the room! ladies! Question? if Playboy came up to you and said wow you are amazin and we want to shoot you!! everyone hating in here would jump out of your skin to accept! ! you know you would! is Marston a POS! YES!! is Chris Brown a POS! YES! BAN EM! Im a playboy subscriber but lately my faith has been shaken! waht do expect from hef hes has elaphantitis in both hands! look! he is dying of Hep C! did you know! Why do you think Crystal Harris dumped his ass!! dead man walking.""",PrivateTest
0,20120620023314Z,"""You are wrong about brown people having to prove they're citizens - that idiotic law is on ice. Cops don't like it. They know there will be a shit storm of law suits and civil disobedience if it is upheld. And for the umpteenth time, that was MY congressman who was shot by a disturbed person had a long history of bizarre behavior. Any mass shootings in Michigan, or wherever you are from? Brewer was only a pissant secretary of state and became gov. because Janet Napolitano resigned, \xa0putting her ambition before the state. Fuck her. \xa0Perhaps we should go down the list of crazy tea baggers in every state of the union, every mass shooting, every crazy law that has been passed by tea baggers - who got their way because the left and center were too lazy, complacent and disorganized to compete with them.\nThe stereotyping that has gone on here on this forum would make nativists and team baggers very happy indeed. They can say \xa0""see - they're just like us""\n\nDo you all talk shit about Alabama, which has a stronger immigration law than the one in AZ which ISN'T being enforced? If you do, you are wrong to do that - Morris Dees and the SPLC are from Alabama, as are a lot of other decent human beings who resist the craziness that tea baggers are doing their damndest to spread around. The cowards who won't say where they are from on this forum love to talk shit - but lack the tanates to take it.""",PrivateTest
0,,"""what a nerd. you would get your ass kicked by a black guy if you used that word in front of him. """,PublicTest
0,20120612065506Z,"""How come you are sooooo bad? You don't win ANYTHING????? You must get paid by the books.......""",PrivateTest
0,,"""<b>Today is a great day to be an American, now we stand here one step closer to the dream of ""liberty and justice"" FOR ALL CITIZENS, regardless of race, religion, gender or sexual orientation.\\n\\nWe will win this war for our equality; take a look at the polls, my generation is overwhelmingly on the side of marriage equality. Anti-gay bigots are becoming the minority, and quickly.\\n\\nBut don\\'t worry you guys, I promise we wont treat you bigots as badly as you treated us, Now that would just be cruel. LOL\\n\\n18 down 32 to go. """,PrivateTest
1,20120619162802Z,"""and you're not a bigot because .....?""",PrivateTest
0,20120530143300Z,"""CANT WAIT !!! TO SEE LEBRON SHUT DOWN PARKER.""",PrivateTest
0,20120610064206Z,"""Multiparty = multi-million $$$ elections fought\xa0 out by parties eager to bribe the voters to gain office, which is seen as a position from which they can reward their supporters throughout the country, with sinecure jobs, pork barrel projects and massive corruption at all levels.\n\nJust like Cuba between 1902 - 1958.\n\nHave the Cuban people expressed a desire to return to their status as a US puppet regime in thrall to a gang of corrupt and venal politicians? Except for a tiny clique of US financed ""dissidents"" and their exile supporters in Florida, no.""",PrivateTest
1,20120612102115Z,"""You are not ready for this show and you new this before you started you a punk and do talk BS behind ppl back get courage up let the black side come out""",PrivateTest
0,20120620111435Z,"""Zo siln\xe9ho soc(ialistick\xe9ho)i\xe1lneho \u0161t\xe1tu....""",PrivateTest
1,20120320172108Z,"""DUMB BITCH..!! DUMB BITCH..!! DUMB BITCH..!! DUMB BITCH..!! \n\nWhat an oppa's slut you are..""",PrivateTest
1,20120529201457Z,"""Lana, you're so full of shit your eyes are brown. \xa0\n\nNo... they're green. \xa0Like emeralds. \xa0How did I never see that? \xa0Lana, your eyes are amazing.I mean, not compared to your tits, but...""",PublicTest
0,,"""You should how the blow up when you hitem with a .223 plastic tip verminator round.......LOL....so much fun...""",PublicTest
1,20120609224303Z,"""dumbass that how you fuuking say it!!!! not spell it dumbass!!! GO SUCK A DICK!!!""",PublicTest
0,20120620031150Z,"""@AngryPanda\xa0Overtime is always good, except for the having to work part. I just sent in an application to Sam's Club that's about a block away from my house, hoping to get that job even if it's a late night shift stocking shelves. I think I'd actually prefer that so I wouldn't have to deal with people.""",PublicTest
1,20120320165052Z,"""You are a loser.\xa0 Always whining about the ownership.\xa0 It is not society's fault you still live in your momma's basement and you are overweight.""",PrivateTest
0,,"""Thanks for licking mine Teabaggin!""",PublicTest
0,20120609230249Z,"""Hi there!\nYou ask:\n""How has this rotten institution managed to subdue so many fiercely independent people without so much as a single stone thrown back at them?""\n\nIn fact the answer is very simple: money.""",PrivateTest
0,20120619205713Z,"""video's the SHIT...who you think you are Albert\xa0Einstein ....LOVE IT""",PrivateTest
0,,"""I just can't chill down..... If they tell me, Christianity **YES!!!** but only under these and those circumstances, and never under those circumstances, the bird considers this anti-Christianity. These people would HATE Jesus, if they would seriously think his ideas over......""",PrivateTest
0,20120529002317Z,"""8 hits in 4 inning of work my goodness... at this rate the jays might get 20 hits""",PrivateTest
1,20120320204852Z,"""you with the 'racist' screen name\n\nyou are a PieceOfShit""",PrivateTest
1,20120610042555Z,"""You're really an idiot!""",PrivateTest
1,20120609231946Z,""""" we let you in""? Who's we? YOU didn't let anyone in. You are a nobody, you have no say, remember? Nobody that is actually responsible or has a say on who comes and goes shares you're views. That's why ""we"" are here. You are a loser. Don't ever forget or let someone tell you otherwise. End of discussion.""",PrivateTest
0,20120620045718Z,"""Now just tell us what time and place the President will allow questions since he refuses now most of the time to be answerable to anyone?And just what is the right time time to ask why he is breaking the law and doing what he said he couldn't?""",PrivateTest
1,20120611200727Z,"""you're all fucking morons, happy? now shut the hell up jesus its like watching the special olympics.""",PrivateTest
0,,"""How many terrorists are in the U.K?, cannot be deported because of their human rights, lets get them out 1st.""",PrivateTest
0,20120611222308Z,"""If it's wrong to be ageist, why do we have a 'retirement age' for jobs?""",PrivateTest
0,,"""No. It's natural to bash Christians / Catholics because they WON'T behead you or blow you up. If they are so brave, let's see them mock islam this way. Cowards wouldn't do it would they?""",PrivateTest
1,20120619213705Z,"""We know what a piece of crap you are so help yourself.\nYou are nothing but pure low life.""",PrivateTest
1,20120620011937Z,"""Don't sell yourself short, Wayne. You are a crappy actor and a pathological liar.""",PrivateTest
1,20120609190535Z,"""I personally think most of your comments are the garbage, but you're a troll, so i think it's pretty normal, you can't change your nature.""",PrivateTest
0,20120619020738Z,"""So you prefer the back room deals like the ""Louisiana purchase"" and buying Dem votes followed by passing a bill it turns out no one read ?""",PrivateTest
0,20120610012649Z,"""Yeah it can be.....especially when you're with a bunch of friends, and you know they noticed;)""",PublicTest
1,20120610150457Z,"""You are looking for attention because you were dumped by one of your relatives and feel lonely. Inbreeding is not all it is cracked up to be is it?""",PrivateTest
0,20120612141232Z,"""As a father to a 3 year old I would have done the same thing. Kudos to the dad for protecting his child and I'm glad that pedo is dead.""",PublicTest
0,20120611052919Z,"""LOL Allen Iverson was right, he told Lebron people was gonna hate him.Jealous ass pussy fucks, say what you want about him.He's in the finals and you're behind a\xa0computer scratching \xa0\nyour nuts.Know your place.BTW Okc vs Heat is gonna be a good ass game.""",PrivateTest
1,20120320161658Z,"""@pc_tool\n\nThe difference is that I don't go around trash talking in android articles!!!!\n\nAre you that fukn stoopid!!!??????\n\nI never read android shit....  Damn ur such a fukn idiot!!!\n\nYour idiocy has literally upset me!!!!\n\nHow can a human be that fukn stoopid??????""",PrivateTest
0,20120620175948Z,"""Why won't our Loser President just fire this Piece of Trash, Holder?""",PrivateTest
1,20120502142819Z,"""You arent real smart are you? \n \ncacoethes scribendi""",PublicTest
1,20120618191833Z,"""make your own sammitch bytch and I don't need porn I got your fat mamma for that""",PrivateTest
1,20120619083217Z,"""Can you please crawl back in your pathetic little hole. Trolls don't accept you because you're stupid as fuck.""",PrivateTest
0,20120529204559Z,"""Bill Clinton = NAFTA\n\nyou are about to be confused.....again!""",PrivateTest
0,,"""@okcjim I don't think there was anything super egregious, but in aggregate, OKC seemed to get a lot of touch fouls called that weren't getting called on Dallas's end.""",PrivateTest
1,20120620072605Z,"""You need help for your obsession and you need it STAT. These blogs are going to make you cringe when you realize how sick you are.""",PrivateTest
0,,"""OK, who scored, who died today?""",PublicTest
0,20120503005936Z,"""GO YOU CHICKEN FAT GO!""",PrivateTest
1,20120619231735Z,"""FUCK U ASSHOLE- \n\nSTART COUNTING YOUR DAYS ASSHOLE, CAUSE SOON U ARE GONNA END UP ON THE DINNER TABLE TOO! \n\nYOUR DAYS ARE ""NUMBERED""\n\nEXACTLY 365 DAYS IS WHAT YOU GOT TOO LIVE U MOTHERFUCKER..\n\nGOD IS WATCHING YOU ALWAYS AND U WILL REGRET IT AND HE'S WATCHING YOU AND YOUR LIFE S GONNA BECOME SO MISERABLE!\n\nDIE IN HELL U FUCKING DEMON""",PrivateTest
0,20120612051201Z,"""Again, I don't give a shiite.\xa0 Get rid of all these motherphucking parasite bloodsucking worthless administrators and let the teachers do their jobs.\xa0 Teachers are teachers because they want to teach, empower, and inspire students.\xa0 Administrators are administrators because they want to acquire money and power for nothing.""",PrivateTest
0,20120619225941Z,"""I'm going to have to go back to check my\xa0birth certificate. I was born in a USSR controlled country while we had communism, my shit might be fake too LMAo""",PrivateTest
1,20120320063715Z,"""fuck you faggot go suck your beho panot abnoy's small chinese dick (if anything's left, i heard it was shot off during the coup leaving abnoy with only one ball haha buti nga si panot)""",PrivateTest
0,20120529031330Z,"""You cant be president of Harvard Law Review without top grades. What dont you understand?""",PrivateTest
0,20120530024051Z,"""Curtis you're killing me man""",PrivateTest
1,20120609162929Z,"""You should talk...you ARE a stalker and so is your dental receptionist loser girlfriend! \tTwo ugly yucks.""",PublicTest
0,20120619044245Z,"""What the fuck is hippo? thanks to hell tourism!""",PublicTest
1,20120619164026Z,"""You are an excellent example of how repulsive libbies are. Selfish losers to the core.""",PrivateTest
1,20120320054032Z,"""you can't even spell you idiot \nyou would watch that dumb shit""",PublicTest
1,20120320213820Z,"""NO....YoU An iDiot...""",PrivateTest
0,20120609191044Z,"""Jobs-jobs-jobs?\n\nRepublicans can approve infrastructure projects and put people to work - including eco-friendly waterline updates.\n\nMore important to maintain failure apart then work together for success.""",PrivateTest
0,20120612143107Z,"""Don't be a fucking asshole, don't strike up awkward conversations with strangers on the subway""",PrivateTest
0,,"""Obama....I'm blow'n mo smoke up yo arses.....Anyone wonder why the Dem's as such sheep.... It must be some DNA thing not to be able to do simple math.\\n\\nI just don't get it....""",PublicTest
0,20120530070138Z,"""I'll check out Fox Sports Arizona. They block out the games here but i have the channel for regular programming.""",PrivateTest
1,20120619053248Z,"""At least I pay taxes. Regrettably to keep bludgers like you. \nMy game Ford? I'm a rich prick, made my dough by hard work. You should try it sometime.""",PublicTest
1,20120620135644Z,"""You are a first class idiot. There should be a reward for your arrest.""",PrivateTest
0,,"""I think Kirchner needs to concentrate on her countrys ailing economy, and stop all this nonsense about the Falklands.\\n\\n \\n\\nThis is all simply deflection to galavanise the Argentinian people, its why she constantly brings the subject of the Falklands up, because whilst the people of Argentina are focuses on the Falklands, there is less focus on the economic woes of the country.\\n\\n \\n\\nIs this what she wants her legacy to be?  Plastic Surgery and nonsense about the Falklands???? \\n\\n \\n\\nQuite how the UK sending a ship to the Falklands which they do so regularly be considered a risk to ""international security"" is laughable rhetoric of the lowest kind.  There is no danger from the UK ship so long as no-one starts anything against that ship or the Falklands.\\n\\n \\n\\nThe people of the Falklands have made it clear they want to be a part of the UK, so how about the Argentinians respect that and just move on?\\n\\n \\n\\nAlso, if Kirchner is so disgusted with the \\'oppressive\\' nature of colonisation, will she now be making a concerted effort against other countries that have colonies and trying to claim those for Argentina?\\n\\n \\n\\nFind a new hobby Kirchner, maybe one that involves economic stability for Argentina might be a better use of your time.""",PrivateTest
0,,"""Is this a picture of the dole queue in Shepherds Bush?!""",PrivateTest
0,20120618223003Z,"""when Obamabots blame everything else for their own failures, including Bush, then the tsunami in Japan, etc...................they don't realize that Americanvoters hate BLAME and love real leadership.\xa0 That is a losing strategy . Maybe they should fire AxelFRAUD.""",PrivateTest
1,,"""Another dumb comment. Put America first before your idiotic views""",PrivateTest
0,20120609223003Z,"""why niggas slappin bitches ass nowadays smh we punchin bootys were im from bruh""",PublicTest
0,20120529211928Z,"""Not merely untrue, but unreadable!\xa0 \n\nAs for the truth, case in point: ""The only place on Earth where people cultivate fields stolen from living refugees is, Israel.""\xa0 There are still living survivors of the German population that used to\xa0live in Poland, the Czech Republic and Russia before they were kicked out at the end of WWII.\xa0 Someone is cultivating their fields, but it isn't them!""",PrivateTest
0,20120612033038Z,"""lol I told you already if you actually read I amnot a birther and romney is not hid anything unlike Obama""",PublicTest
1,20120619125142Z,"""Hey, Bertone, you're the certified liar here. Your saying others ""continue to invent fairy tales and repeat legends"" would be funny-hilarious if your fairy tales weren't so deadly to the poor kids under your wicked influence. You and your church are a damned disgrace. SHAME ON YOU.""",PrivateTest
1,20120609211533Z,"""but you are an\xa0axleslime-obama flea just puke garbage like obama does""",PrivateTest
0,20120502173936Z,"""Lol, you are very loved - freaky moments and all ;)""",PrivateTest
0,,"""@kj1222 @PatrickLacroix i have no clue i tryed this and it didnt work now i am going to remove the crt and then remove the ass.plist and then reinstall crt and try again""",PrivateTest
1,,"""Look.dumbfuck. I am just pointing out the asshoIe's hypocrisy in calling out other people's errors.  If you want to defend him and suck.his.cock then go get a private room together and have some decency. """,PublicTest
1,20120619090510Z,"""I'll try not to miss this!\n\nAnd fuck you title \u0ca0_\u0ca0""",PrivateTest
0,20120529011023Z,"""Oh my just goes to show how young you are. Yes I remember her and all her fancy hair colours. As a tiny girl my daughter loved her.""",PublicTest
1,20120320202059Z,"""Only racist here is YOU!!!!!!!!\xa0 Take your racist statements and FUCK OFF!""",PrivateTest
1,20120619200208Z,"""Baseless insults is all you have to offer. And you wonder why the Liberals lost the House in 2010 and will lose the Presidency in 2012. Extreme comments like yours may inflate your fragile ego, but they only alienate independents. Keep it up. People like you are 0bama's biggest weakness.""",PrivateTest
1,20120529194024Z,"""Try training for a job that makes you too important to treat like that. Hamburger flippers are a dime a dozen.""",PrivateTest
1,,"""Oh your just so intelligent \\nand quick with the quip that your reward\\n\\nyou qualify to smell my ass""",PublicTest
1,20120611131005Z,"""you are an idiot""",PrivateTest
1,20120529172738Z,"""you can suck my dick""",PrivateTest
1,20120609173431Z,"""Sure you would Sparky SURE you would.\n\nHave a nice day you sniveling little coward.""",PrivateTest
1,20120611161511Z,"""LOL, I am the adult and you are the childish coward hiding behind a phony username. You are the one hiding behind your mothers computer.""",PrivateTest
0,20120620072545Z,"""Melissa, I've loved you from the first day I saw you on the show!  You have a beautiful family and your music talent is undeniable.  You and Theresa do have one thing in common - you are both strong ladies - that's a good thing.  Theresa is used to getting her way, she is a bully, and I'm glad to see you stand up for yourself and your family.  I see all these comments on the website that Theresa should get her own show.  NOPE - you should have your own show!  Let me know who I need to talk to!  :)""",PublicTest
0,20120609193315Z,"""heey iedereen is fuck doei""",PrivateTest
0,20120619102109Z,"""IKR~~!!!! i know about them and other close friendship group since long time ago~ but some fans like BJs & SONES never believe in me until now..!!\n\nsince i'm a SONE, some of BJ even said ""don't act like you are an Angel like your ""Angel"" please"" \xa0TTTT\ni'm CASSONEXOTIC & WONDERFUL, but I LOOOOVE 2NE1 (esp DARA & CL)..PLEASE SONES & BLACKJACKS, IGNORE FAKE SONE & FAKE BLACKJACK WHO ALWAYS MAKE A FIRE FANWAR~!!!!!!!!!!""",PrivateTest
0,20120529171855Z,"""That might be what other countries give, but the standard in the U.S. is 72 hours. I'd fight NPR over that.""",PrivateTest
1,20120320160847Z,"""you lie all the time about fucking gwen stafni and make fake questions on formspring to yourself about it right? yea your a loser /// liar.""",PublicTest
0,20120528210114Z,"""*pulls out plasma cutter* LET'S DO THIS SHIT!\n\nI think expanding the bracket to include another 32 games is a solid idea, especially with the inclusion of PC games now.\n\nAs far as the division of the eras is concerned, I think keeping the same set-up as last year is fantastic and I think the change in demographic here will definitely make things a little more interesting.\n\nI'm pretty indifferent about the schedule for match-ups, but I love the changes you made to support blogs and regular voting although it will DEFINITELY lead to bigger and more rage-inducing lulz :D""",PrivateTest
0,20120610103000Z,"""That is one fat set of cock and balls!!! I'd try 'em on!!!""",PrivateTest
0,20120610152456Z,"""How many more Americans casualties were incurred after Nixon took over? What about civilian casualties?""",PrivateTest
0,,"""@David   Considering the proven litigious nature of SGK, I suspect it's not so much a lack of will, but a lack of funding to fight off their bulldog legal team(s).\\n\\n """,PrivateTest
0,20120618210046Z,"""It is entirely relevant, but you are afraid of the point I will draw if you were to answer the question truthfully. Your choice to evade is duly noted.""",PrivateTest
1,20120610135810Z,"""Yeah, need to get some fucking nuts before\xa0tonight's\xa0episode.""",PrivateTest
0,,"""Obama has spent more in 3 years than Bush did in 8. Budget chief Jeffrey Zients is full of BS.If I wanted to watch a horse's ass drop a load of dung, I'd go out to the farm.""",PrivateTest
